epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6816,2.09099,2.86762,2.0335,0.45002,0.11853,0.11031,0.0311,2.93339,3.30408,2.65137,0.0801675,9.9661e-05,9.9661e-05
2,82.4347,1.95637,2.2305,1.91526,0.35388,0.34204,0.29912,0.1032,2.56404,2.6623,2.60127,0.0602674,0.000199612,0.000199612
3,119.913,1.89115,2.04669,1.85976,0.48239,0.45088,0.4449,0.19119,2.33653,2.40793,2.40001,0.0403672,0.000299368,0.000299368
4,156.348,1.84671,1.92918,1.79935,0.46146,0.50097,0.46255,0.18228,2.34072,2.34102,2.41114,0.0204666,0.000398783,0.000398783
5,192.532,1.82782,1.8522,1.77933,0.47339,0.37502,0.38952,0.16087,2.33485,2.59819,2.33221,0.000565507,0.000497711,0.000497711
6,228.85,1.81499,1.83259,1.784,0.5659,0.51706,0.52269,0.23017,2.22885,2.14124,2.21257,0.000496953,0.000496953,0.000496953
7,264.994,1.78184,1.75658,1.7447,0.51962,0.52028,0.51635,0.2328,2.29226,2.38787,2.29562,0.000495616,0.000495616,0.000495616
8,301.12,1.74795,1.66818,1.72512,0.57515,0.52079,0.51549,0.193,2.30445,2.20179,2.28153,0.000494039,0.000494039,0.000494039
9,337.427,1.73894,1.64494,1.7041,0.5738,0.54547,0.54757,0.25461,2.24957,2.11239,2.22732,0.000492224,0.000492224,0.000492224
10,373.755,1.70302,1.60116,1.67874,0.60584,0.5541,0.56255,0.24772,2.27062,2.15083,2.22388,0.000490173,0.000490173,0.000490173
11,410.027,1.68816,1.54569,1.64799,0.63208,0.55575,0.56986,0.25042,2.24491,2.04469,2.25189,0.000487886,0.000487886,0.000487886
12,446.162,1.68359,1.55337,1.65942,0.6604,0.55431,0.58353,0.27361,2.18596,1.933,2.16062,0.000485368,0.000485368,0.000485368
13,482.162,1.67609,1.50691,1.64248,0.62665,0.5583,0.57473,0.27265,2.19799,1.96605,2.16075,0.00048262,0.00048262,0.00048262
