epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3998,1.94608,2.59555,1.74771,0.5122,0.0789,0.10112,0.03815,2.52386,3.36176,2.47915,0.0802137,9.94286e-05,9.94286e-05
2,56.5083,1.77039,1.83504,1.5708,0.63007,0.1544,0.21609,0.09376,2.19373,3.25909,2.24911,0.0603137,0.00019938,0.00019938
3,82.9189,1.68888,1.65097,1.5067,0.61643,0.45235,0.51482,0.24321,1.83286,2.08753,1.77457,0.0404134,0.000299136,0.000299136
4,108.701,1.64005,1.48881,1.46776,0.72983,0.57329,0.65102,0.32244,1.73995,1.63253,1.71686,0.0205128,0.000398551,0.000398551
5,134.268,1.60758,1.42647,1.44164,0.61219,0.44578,0.46205,0.21597,1.86889,2.17903,1.74021,0.000611765,0.000497479,0.000497479
6,159.814,1.60393,1.41088,1.44545,0.75635,0.61028,0.68829,0.34186,1.74216,1.49836,1.62894,0.000496953,0.000496953,0.000496953
7,185.491,1.56113,1.32096,1.41233,0.73669,0.59862,0.68255,0.3435,1.70796,1.48525,1.63713,0.000495616,0.000495616,0.000495616
8,210.824,1.54008,1.27471,1.38745,0.78218,0.67909,0.73971,0.37787,1.64422,1.34824,1.58605,0.000494039,0.000494039,0.000494039
9,236.437,1.50806,1.22223,1.37494,0.74005,0.67727,0.71193,0.36745,1.65335,1.41675,1.60295,0.000492224,0.000492224,0.000492224
10,261.828,1.4933,1.19994,1.36418,0.74598,0.65317,0.71806,0.37718,1.63553,1.40965,1.53755,0.000490173,0.000490173,0.000490173
11,287.394,1.4786,1.16483,1.35808,0.78828,0.69577,0.75457,0.39089,1.61073,1.27813,1.54992,0.000487886,0.000487886,0.000487886
12,312.814,1.4629,1.14412,1.34433,0.78649,0.69763,0.76644,0.41176,1.55077,1.27571,1.48221,0.000485368,0.000485368,0.000485368
13,338.192,1.43948,1.11425,1.33381,0.8299,0.71291,0.79288,0.4426,1.49351,1.20297,1.46562,0.00048262,0.00048262,0.00048262
14,363.939,1.41628,1.07906,1.32731,0.79383,0.73587,0.78943,0.41491,1.54165,1.15634,1.47078,0.000479644,0.000479644,0.000479644
15,389.476,1.40411,1.0501,1.30829,0.84687,0.73529,0.79872,0.45191,1.46522,1.12063,1.416,0.000476445,0.000476445,0.000476445
16,414.936,1.39414,1.02966,1.30624,0.80148,0.73169,0.7769,0.43815,1.5042,1.20795,1.46863,0.000473024,0.000473024,0.000473024
17,440.303,1.37493,1.01886,1.29129,0.80247,0.74987,0.78811,0.45112,1.47389,1.08547,1.45599,0.000469386,0.000469386,0.000469386
18,465.768,1.3613,0.98834,1.27895,0.84911,0.76067,0.82563,0.47521,1.43841,1.01971,1.4064,0.000465534,0.000465534,0.000465534
19,491.229,1.35902,0.98727,1.28577,0.84141,0.73299,0.81337,0.46331,1.45811,1.07812,1.42046,0.000461471,0.000461471,0.000461471
20,516.828,1.34296,0.97804,1.27598,0.80705,0.76345,0.81271,0.46582,1.42793,1.06726,1.41021,0.000457202,0.000457202,0.000457202
